'k'		1589552809.1363676
'k'		1589552860.1760607
Key.ctrl_l		1589552898.9047396
'.'		1589552962.767782
Key.backspace		1589552963.9731476
Key.backspace		1589552964.2074678
'.'		1589552964.7459419
Key.ctrl_l		1589552966.1517289
'\x13'		1589552966.5074778
Key.alt_l		1589552968.0165799
Key.tab		1589552968.3874788
Key.up		1589552969.3840666
Key.ctrl_l		1589552971.187348
'\x03'		1589552971.5402396
'\x03'		1589552971.7887938
'\x03'		1589552971.9762084
'\x03'		1589552972.1480756
'\x03'		1589552972.2730124
'\x03'		1589552972.433105
'\x03'		1589552972.613254
Key.ctrl_l		1589552973.7485328
'\x03'		1589552974.1390998
'\x03'		1589552974.3109336
'\x03'		1589552974.4943564
'\x03'		1589552974.6582944
'\x03'		1589552974.8467653
Key.ctrl_l		1589552976.408588
'\x03'		1589552976.610153
'\x03'		1589552976.754695
'\x03'		1589552976.9109075
'\x03'		1589552977.0833964
Key.ctrl_l		1589552977.8332965
'\x03'		1589552977.8960145
'\x03'		1589552978.0519612
'\x03'		1589552978.2081757
'\x03'		1589552978.3643878
'\x03'		1589552978.5143926
'\x03'		1589552978.6638687
'\x03'		1589552978.804459
'\x03'		1589552978.9606743
'\x03'		1589552979.1012976
'\x03'		1589552979.241893
Key.ctrl_l		1589552979.650875
'\x1a'		1589552979.8292782
'\x1a'		1589552980.0066574
'\x1a'		1589552980.1943908
Key.enter		1589552994.8886533
Key.enter		1589552995.13023
Key.enter		1589552995.3176796
Key.enter		1589552995.483467
Key.enter		1589552995.7375612
Key.enter		1589552995.9093947
Key.enter		1589552996.0563161
'k'		1589553020.5713215
'k'		1589553020.754835
Key.enter		1589553030.1415062
Key.enter		1589553030.3602045
Key.enter		1589553030.72149
Key.enter		1589553030.8777413
Key.enter		1589553031.0328069
Key.backspace		1589553102.2987318
'1'		1589553102.5992959
Key.backspace		1589553104.1061845
Key.backspace		1589553104.5006363
'1'		1589553105.2997105
Key.ctrl_l		1589553106.3094766
'\x13'		1589553106.65727
'q'		1589553151.837754
'q'		1589553152.1230483
'q'		1589553152.3445053
'q'		1589553152.563581
'q'		1589553152.8281336
'q'		1589553153.0499213
'q'		1589553153.2357442
'q'		1589553153.4446657
'q'		1589553153.6271071
'q'		1589553153.8000348
'q'		1589553153.9914012
'q'		1589553154.1972475
'q'		1589553154.406064
'q'		1589553154.7042458
'q'		1589553154.8784902
'j'		1589553155.3658757
'k'		1589553155.3767042
'e'		1589553155.4871097
'b'		1589553155.5002272
Key.space		1589553155.5361912
'k'		1589553155.7061458
'j'		1589553155.7117865
'f'		1589553155.817441
'b'		1589553155.8229163
Key.space		1589553155.848946
'f'		1589553155.9825368
Key.space		1589553156.0353935
'b'		1589553156.0791717
Key.ctrl_l		1589553219.781101
'\x0e'		1589553219.9354665
'f'		1589553220.5978012
'p'		1589553220.613858
'o'		1589553220.6459868
'j'		1589553220.7466803
'o'		1589553220.8312523
'p'		1589553220.8422253
'e'		1589553220.9067268
'r'		1589553220.9112942
Key.space		1589553220.9271774
'p'		1589553220.97403
'o'		1589553220.97403
'i'		1589553220.9924867
'e'		1589553220.9984696
Key.space		1589553221.0702755
'p'		1589553221.1406963
'o'		1589553221.144685
'r'		1589553221.1669815
Key.space		1589553221.2143385
'o'		1589553221.3065677
'p'		1589553221.3095696
'f'		1589553221.352449
'd'		1589553221.4323032
'n'		1589553221.5389311
Key.shift_r		1589553296.0568411
Key.up		1589553296.2807965
Key.up		1589553296.796313
Key.up		1589553296.8332202
Key.up		1589553296.8699467
Key.up		1589553296.9065025
Key.up		1589553296.9442222
Key.up		1589553296.9821165
Key.up		1589553297.0191913
Key.up		1589553297.0427952
Key.up		1589553297.0930874
Key.up		1589553297.131039
Key.up		1589553297.1674643
Key.up		1589553297.2053149
Key.up		1589553297.2432842
Key.up		1589553297.279764
Key.shift_r		1589553372.238623
Key.shift_r		1589553372.7651687
Key.shift_r		1589553372.8009362
Key.down		1589553372.853964
Key.down		1589553373.0629292
Key.down		1589553373.2057226
Key.down		1589553373.3617408
Key.shift_r		1589553374.1643677
Key.delete		1589553374.3408148
Key.enter		1589553374.8223512
'o'		1589553387.1991856
'w'		1589553387.2031817
Key.ctrl_l		1589553448.0097227
Key.ctrl_l		1589553451.3333254
'\x0e'		1589553451.5365798
'k'		1589553452.0591972
'j'		1589553452.070338
'b'		1589553452.212262
'c'		1589553452.3076942
'k'		1589553452.4421973
'j'		1589553452.4747236
'r'		1589553452.5316677
'v'		1589553452.5526118
'b'		1589553452.5595977
'k'		1589553452.6813111
'j'		1589553452.7075198
'e'		1589553452.7295544
Key.enter		1589553453.9474027
'k'		1589553454.335139
Key.space		1589553454.4515166
'j'		1589553454.5161963
'f'		1589553454.5211985
'k'		1589553454.5953333
'e'		1589553454.6425586
Key.space		1589553454.7122798
'v'		1589553530.1918993
'r'		1589553530.209687
'n'		1589553530.3991575
'i'		1589553530.4934964
'u'		1589553530.5104167
'v'		1589553530.6969352
'e'		1589553530.7009232
'r'		1589553530.7178059
'b'		1589553530.72278
'i'		1589553530.8612933
'e'		1589553530.8815625
'b'		1589553531.0209696
'v'		1589553531.046225
'u'		1589553531.1691296
'i'		1589553531.1741512
